xi_0,xi_1,xi_2,xi_3,xi_4,xi_5,xi_6,xi_7,nu,rho,H,iv_T0.1_K0.50,iv_T0.1_K0.60,iv_T0.1_K0.70,iv_T0.1_K0.80,iv_T0.1_K0.90,iv_T0.1_K1.00,iv_T0.1_K1.10,iv_T0.1_K1.20,iv_T0.1_K1.30,iv_T0.1_K1.40,iv_T0.1_K1.50,iv_T0.3_K0.50,iv_T0.3_K0.60,iv_T0.3_K0.70,iv_T0.3_K0.80,iv_T0.3_K0.90,iv_T0.3_K1.00,iv_T0.3_K1.10,iv_T0.3_K1.20,iv_T0.3_K1.30,iv_T0.3_K1.40,iv_T0.3_K1.50,iv_T0.6_K0.50,iv_T0.6_K0.60,iv_T0.6_K0.70,iv_T0.6_K0.80,iv_T0.6_K0.90,iv_T0.6_K1.00,iv_T0.6_K1.10,iv_T0.6_K1.20,iv_T0.6_K1.30,iv_T0.6_K1.40,iv_T0.6_K1.50,iv_T0.9_K0.50,iv_T0.9_K0.60,iv_T0.9_K0.70,iv_T0.9_K0.80,iv_T0.9_K0.90,iv_T0.9_K1.00,iv_T0.9_K1.10,iv_T0.9_K1.20,iv_T0.9_K1.30,iv_T0.9_K1.40,iv_T0.9_K1.50,iv_T1.2_K0.50,iv_T1.2_K0.60,iv_T1.2_K0.70,iv_T1.2_K0.80,iv_T1.2_K0.90,iv_T1.2_K1.00,iv_T1.2_K1.10,iv_T1.2_K1.20,iv_T1.2_K1.30,iv_T1.2_K1.40,iv_T1.2_K1.50,iv_T1.5_K0.50,iv_T1.5_K0.60,iv_T1.5_K0.70,iv_T1.5_K0.80,iv_T1.5_K0.90,iv_T1.5_K1.00,iv_T1.5_K1.10,iv_T1.5_K1.20,iv_T1.5_K1.30,iv_T1.5_K1.40,iv_T1.5_K1.50,iv_T1.8_K0.50,iv_T1.8_K0.60,iv_T1.8_K0.70,iv_T1.8_K0.80,iv_T1.8_K0.90,iv_T1.8_K1.00,iv_T1.8_K1.10,iv_T1.8_K1.20,iv_T1.8_K1.30,iv_T1.8_K1.40,iv_T1.8_K1.50,iv_T2.0_K0.50,iv_T2.0_K0.60,iv_T2.0_K0.70,iv_T2.0_K0.80,iv_T2.0_K0.90,iv_T2.0_K1.00,iv_T2.0_K1.10,iv_T2.0_K1.20,iv_T2.0_K1.30,iv_T2.0_K1.40,iv_T2.0_K1.50
0.02722208032805371,0.09274312688128712,0.08243862208920782,0.09179316319729797,0.08372239580988831,0.14131837701648386,0.09788514859658157,0.11498819862079564,2.9614897478772546,-0.7677473626127815,0.4921795391320142,1e-09,1e-09,1e-09,1e-09,0.15700671770666438,0.14914645233368792,0.12672863941238624,1e-09,1e-09,1e-09,1e-09,0.16652971832983787,,,0.17190630265650075,0.15963974254778235,0.15191096756855815,0.19719696532523953,0.24224195172504664,0.2674879210899506,0.27509125490433145,1e-09,1e-09,0.2603128425368844,0.2331755837092987,0.1892835676067833,0.15077530177688828,0.15267782031144553,0.194608529460704,0.24193117756753418,0.28626473968451077,0.32283378520343187,0.35297837363665524,0.09501375199786033,1e-09,0.18880250697092874,0.16183296911750036,0.13685546602498352,0.13469986344448695,0.16145324167301592,0.18554020791055742,0.2137854515160728,0.23811602510389165,0.2571037511571536,0.29067399439116376,0.24432836346736322,0.20047177752637874,0.1643621230432299,0.13094748457095592,0.1297964260757425,0.15676300122508105,0.18632877286581406,0.21063591685758773,0.22418417161235255,0.2363283468611757,0.2968771615713253,0.2419900470849135,0.19364746122587256,0.1531465857388296,0.12273998750245221,0.12524400389146986,0.15270856826424692,0.18253490343435907,0.21028318669328103,0.23108457046170186,0.24686290753250906,0.25611232351601937,0.21046602992477204,0.16854036787185653,0.1346505737627064,0.11204592016874106,0.11426556246096338,0.13868973024352757,0.16471676853692446,0.18626759617133357,0.2032733084814024,0.2145814711361796,0.24171799069154284,0.19883052210145802,0.1591939709103447,0.12836547905786472,0.10839297024187222,0.1088512495616134,0.13140202229919498,0.1551743431593899,0.17659327399645297,0.19263122086506443,0.2035285570223669
0.02955739351926095,0.02777087695646034,0.11263282895794763,0.07031440926107757,0.042237054599372985,0.11267233739114584,0.10145180345624175,0.14149941029192947,2.1185118852381835,-0.3074533130423128,0.06209939394372052,0.28740469244000644,,1e-09,0.3029500607270891,0.206538037616053,0.12609228152953939,0.23063723722621923,0.3217707243783289,0.37923034983493753,1e-09,1e-09,1e-09,1e-09,0.2990023131398185,0.23612300079845397,0.16296201830208254,0.11613730160209433,0.1404613630187217,0.1952144168013703,0.228699557329645,1e-09,1e-09,0.33845735952335715,0.31830983549665953,0.2733320493171121,0.2230469819731787,0.1651502743203613,0.1334872180296745,0.14540682774355718,0.1727471391058658,0.19767100088868128,0.22280838853228482,0.23117915801091896,0.39552317006509924,0.3334434344707551,0.2765258700925148,0.22291827013680912,0.1812396151261493,0.1462737417806087,0.14471717923566538,0.15693500495196824,0.17026837990011662,0.15828204770825371,1e-09,0.33524879582513245,0.28797711348113475,0.25135881935893695,0.21134356360217232,0.17335328816752194,0.1511487951020375,0.15022058019022066,0.15361496831691068,0.15093232373319995,0.14243672616253267,1e-09,0.3352448399150682,0.2925211663253379,0.25079529281659724,0.21015311416347382,0.18073006850311757,0.16406245466849265,0.1648986391375133,0.17336068763288953,0.17853103005896512,0.16703001012322283,0.11376919584555736,0.3506235751051388,0.3083228065561966,0.2670185465027243,0.23015158866552377,0.19782723199002708,0.1795310994249027,0.17697097850440546,0.18002591284243144,0.1790683894737414,0.17681707958006826,0.17624240506607675,0.3362587923175971,0.29312569921204645,0.25322898313902353,0.21855079395010327,0.1933981821117345,0.17728139178903624,0.173294613031655,0.1724694360195915,0.1620248652241337,0.1586471866995282,0.1534137922880585
0.024215111316931007,0.04214169286763831,0.13553071122193353,0.13832708828893492,0.03536031156865931,0.11798843621837211,0.026063081136435354,0.1554800209231935,0.6221941594391263,-0.38514978629323476,0.431136485461547,0.29104230927535163,,,,0.18262206696804295,0.15632483796929347,0.1730663379097203,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.20505447036216182,0.20860628930563296,0.19377973784686173,0.17974115976942165,0.18802088002359613,0.1874706953767426,1e-09,1e-09,1e-09,1e-09,0.2538165046637816,0.24970498155352513,0.24386741550107743,0.24067636643233115,0.23042368473621053,0.22437045548124424,0.22453730460720456,0.2196273447504337,0.22680333476735384,1e-09,0.2637230009771714,0.28531389326518086,0.2830360486519158,0.27875012863452797,0.28611692662378907,0.2842327953635865,0.2775320691348394,0.2690915369545804,0.26352376008712286,0.26536755991165895,0.23128609717286547,0.2670643163637673,0.2798065887442839,0.2777559985764255,0.2794104947300926,0.28612068515733546,0.29216128272652825,0.29552769496116144,0.29470265632575465,0.289021574316693,0.2842872029188981,0.19099446283997878,0.26695704328731595,0.29070795469719213,0.2999454271104743,0.30027039465819744,0.29742342068271344,0.30001757223582676,0.3036462199436052,0.30609361559088866,0.3046157985528605,0.3038760711756256,0.2566254664606727,0.2638000007215855,0.28017817256208677,0.2851218709664767,0.28245299066935375,0.2765116914930388,0.27063736301932656,0.269170050203091,0.2709068227269954,0.26915624674571365,0.26574738309744056,0.28507116292932705,0.2863723192892102,0.30064692668430576,0.302818369286237,0.30134473696753733,0.29285646754957634,0.2838649795324441,0.27989017271948674,0.2795957803568641,0.2777146462520184,0.28262466289780597
0.1317483621774332,0.14926618576941042,0.15644323656889733,0.041252469853965204,0.06269980049561943,0.04628032077810131,0.11503372528584106,0.10386652448031497,3.4493508791057783,-0.7373711410665594,0.3629622359666121,0.2878027753995058,,0.14763964325273263,0.26764442839727526,0.3171274786418107,0.30026939433939803,0.3442907634334378,0.3844359583550406,0.42628739275687155,0.4393517410608081,1e-09,0.1709859728147442,0.1284428172141128,0.24427649129624215,0.2754747446001557,0.2638161578913178,0.2770826313377983,0.3288271421150131,0.38962959629395527,0.4359563858992653,0.47973759443548847,0.5214388298192727,1e-09,1e-09,0.23834177566904916,0.23776194960083333,0.22662776546685753,0.2456246930734235,0.2920918986164085,0.33828908595557605,0.37734976531481923,0.4103561276110988,0.43868845913302157,1e-09,1e-09,0.19123385537142093,0.19948740500657886,0.1894497458600558,0.19785793393998333,0.23226963423595773,0.2683387259776611,0.29435819684667736,0.3192297614033903,0.33884312742787076,1e-09,1e-09,0.1609450387102887,0.17562474606748915,0.1714126557440604,0.1737189815720292,0.20150049392127978,0.23006218556693342,0.2512504949645199,0.26957265091346694,0.28449624862906453,1e-09,0.18630264410601005,0.1723120458309306,0.16468087795581332,0.15721037765560053,0.15746142341664696,0.18110269668179138,0.20613767001328373,0.22479699211664708,0.24026498463417914,0.25425618001433264,0.18799286828573286,0.19071624022314113,0.16316249108110004,0.15134197154941814,0.141980025763921,0.1416666093093356,0.1651929352049119,0.1873864559483972,0.2057482657181065,0.22042818011757884,0.2331613979842503,1e-09,0.163334078902904,0.14817730306008536,0.1420424295342852,0.13518409751196714,0.1358969481441325,0.15849933231517685,0.1799497122334236,0.19800722733213183,0.2129922612386634,0.22601131315711748
0.1447886257172974,0.05019729735324336,0.03501828834325555,0.03670574872911944,0.13332367697483877,0.1300369353938385,0.03346073108251111,0.04542089487767186,1.3832674309424018,-0.4510426803200701,0.4868120301191054,1e-09,1e-09,1e-09,0.3494138797315998,0.3380413039929782,0.3401882949347188,0.34156582806989305,0.3569158255601109,0.36036161246580534,1e-09,1e-09,0.16713081733535182,,,0.28662234147774523,0.3029123649022908,0.33283343823083383,0.35781164141256694,0.38502998135900357,0.40633379360012484,0.4220755363861276,0.4403633753927402,1e-09,0.2985708406502889,0.2855681142920778,0.2580675203623999,0.2614322052677843,0.2742001745283528,0.3023751035443466,0.33120057395773644,0.3561889842460663,0.37719824071196434,0.39211904123369734,0.31133399720431365,0.30548219350383804,0.2707262765676437,0.25417925328276986,0.24281828124912255,0.25448148161377565,0.2834351337454419,0.30748704240382013,0.32620182956017857,0.33953493418726355,0.34678977378004183,0.3799789405839282,0.34901132980047106,0.3136701299599096,0.28516692635681223,0.2810237334599614,0.29144567337309313,0.3062759884723164,0.3148785880077353,0.31681688420105414,0.319756702150069,0.32279069154274953,0.4078992245029943,0.36117202466479736,0.31338609421534286,0.27994830487110844,0.2770564441204064,0.29031304194080526,0.30446431984075895,0.31319516815787335,0.31808686133242164,0.3217818269869499,0.31875795620961594,0.379796798776249,0.3349240990680539,0.2933842030754831,0.2678350671748901,0.26436457728793256,0.26984547277860566,0.2840518434992955,0.29504168960676547,0.3059027506130862,0.31303288185451555,0.3164367709342883,0.3438407599860848,0.3044757852966947,0.269636066349773,0.24589853572002673,0.24000349972448254,0.24309403367448815,0.25299077010483967,0.26172891984725655,0.2648176077077919,0.2687550864771169,0.2664487178349129
0.07370847767918139,0.010358263801369196,0.08263094342679822,0.08327527457800735,0.02564770299442754,0.1545084810739949,0.11960811132477692,0.04790987959633971,3.786631220207514,-0.8185259502838996,0.3920610199775247,1e-09,1e-09,1e-09,0.3136828195241294,0.25217329238291863,0.2295056674247527,0.19994057158119805,1e-09,1e-09,1e-09,1e-09,0.676154066358909,0.5395642307643057,0.42189729322070213,0.3291715575713548,0.24796617738311352,0.20991843342957783,0.19936082570773597,0.23235780225965388,0.24693378089214296,1e-09,1e-09,0.5168467960607842,0.4223432397681262,0.3391115191667218,0.27025392339885546,0.20540432569137776,0.16713778533498433,0.1543813423203462,0.17439935876923046,0.19691652690471936,0.1988668762983067,1e-09,0.4415403627926106,0.3576657992970646,0.2843356873678154,0.22278741307330927,0.17031904620572066,0.13951714443615643,0.13148432476314692,0.14269898749431958,0.15978186697367244,0.147760118428561,1e-09,0.3846551356768649,0.31153331755137437,0.24778559413736465,0.19571751541819898,0.14810067245793998,0.12107550749188487,0.11017457696711005,0.10625208417564211,0.11756513851551739,1e-09,1e-09,0.3637587379383535,0.29729737480676416,0.23985870040728938,0.18778327611195486,0.13918928691734703,0.11301776366092402,0.10321581062962462,0.10373632599048171,0.11017280710364898,1e-09,1e-09,0.32848635155615424,0.26940353393785565,0.2162753138803197,0.17012212996947262,0.1266690806379339,0.10463285220452452,0.09791391318803326,0.09631536634685758,0.09948200900362873,1e-09,1e-09,0.3110139076644894,0.25517632818121544,0.20682553237185056,0.16261179029594525,0.12115058623521646,0.10012530857257539,0.09359033768775386,0.09244221274270344,0.09434280924306232,1e-09,1e-09
0.027446854622654927,0.03836352152017477,0.07663420007357266,0.12147127768898947,0.08804975489633558,0.026198584168465384,0.11868648045830044,0.12729782722992272,1.069796017038196,-0.1637703260000939,0.3653569869025715,1e-09,0.20384406713918074,1e-09,,0.15671393974441042,0.15942105295476827,0.1457312834437397,1e-09,1e-09,1e-09,1e-09,0.16691285223415914,0.12090314074842352,,0.21556093288888084,0.16540675533903537,0.16175072680840233,0.17117875132074548,0.20187495728322322,1e-09,1e-09,1e-09,0.11540499521870726,0.2400562327985482,0.24963126335970492,0.23793249588026472,0.21709710481071087,0.19929695737200423,0.19182579720201232,0.21679387482072288,0.2360939962285629,0.24919617156389745,0.22515052774907238,0.2511613127964497,0.2723548601268734,0.26617974260789196,0.2479401482289189,0.2267776898403404,0.22458372622846964,0.23667330332519232,0.2584651465279975,0.2799739900505398,0.29880507383282556,0.31423618090864014,0.25334926507995,0.27054911109674745,0.27857491914980453,0.27245551746307956,0.2577455164539086,0.2529735491022024,0.25947402265039027,0.2657243526366094,0.2708924762980223,0.28126825564742547,0.28927120140769763,0.18408160897284137,0.2357585550257353,0.24895869486426764,0.24217855566577665,0.23337644585148426,0.2293088718113247,0.23163588006590893,0.23123757597897152,0.23473751091814613,0.24522485269673552,0.2540277329558019,0.22043235677132095,0.22813938192743663,0.2281675656881989,0.22596587639955196,0.22395320226346344,0.23069604643129274,0.2425475109097663,0.24991299469864803,0.26194827121401054,0.2706040207566748,0.2755641222317324,0.2627465141351982,0.25035524506354856,0.24669922640842654,0.236379962945825,0.23930776855890554,0.2518121446441149,0.2626463346037694,0.2697115298719671,0.27966978228204514,0.2847820194734199,0.2911400718030304
0.10757115425399034,0.08708550952154046,0.011087281007843371,0.12815373945551667,0.0897401830680744,0.0529809097731843,0.08643038422640281,0.057892386455989445,1.8178066325797164,-0.4417174661072114,0.3999107656947089,0.2915865330365549,0.2198830244759322,,,0.26901987836875924,0.30188057162518994,0.3546676482586195,0.3677433878878041,0.40574380724963466,1e-09,1e-09,1e-09,1e-09,0.287796683414798,0.29230634967416624,0.30464649595970744,0.29684384704579825,0.29300734839466713,0.2849137682417999,0.2615273187310919,1e-09,1e-09,0.3777097665114429,0.32620416134254354,0.2971192511298114,0.29452520511596386,0.28655986342477263,0.2760731276197453,0.26270067255690854,0.2603539978706442,0.25843266501370477,0.2514035807458263,0.2386743729878584,0.36315314648640395,0.3261883007696333,0.30297576581964974,0.27882389944290614,0.26401379657743723,0.2505882838995656,0.23772673898014302,0.23424634972017608,0.24108052182485315,0.25035233432586207,0.2547028403551308,0.3370528952663499,0.33243470491642474,0.30388753874075125,0.281990340212854,0.2586673605625018,0.23747749945870567,0.22785356475808546,0.23477308682320647,0.252816722787142,0.2680756790064897,0.28119545718682126,0.3530269010547153,0.34066026925094783,0.30909756658053716,0.2814403876591183,0.2598544283000726,0.23997426694456855,0.22783169675761716,0.22141459485153728,0.22780841315385458,0.23599860375457676,0.2462551227607114,0.3453503483510607,0.3316718919893254,0.30310264854870883,0.27771635443515963,0.2531057946475147,0.23537367309065546,0.22607994822668653,0.22876426065183292,0.23971364173555498,0.25061615163046436,0.2604952323436411,0.3469174978039236,0.3248573793491659,0.2988867221780768,0.27253041322891547,0.24909267396912316,0.23456222543703267,0.22542367626215573,0.22734743874332877,0.2385536779264123,0.2513662196733393,0.26058607459807753
0.035221955107237475,0.14341490985427083,0.09920699788673762,0.14742990896323166,0.11681057048107552,0.054307962122299845,0.12360157448367898,0.15615717124074668,2.6158237354568827,-0.40724855386714043,0.2612190008666786,1e-09,1e-09,1e-09,1e-09,0.18053825140886487,0.1624267987407071,0.21290409941550148,1e-09,1e-09,1e-09,1e-09,0.1682569914179069,,0.2858922343158008,0.2745430597992051,0.22478670634710024,0.22259963513076733,0.24816649763767212,0.29350971026874206,0.33421877704281944,0.37504549839209017,0.40034779767480155,1e-09,0.26194855200362693,0.27214873154699004,0.24538662931600072,0.2065259687537643,0.1972368996013073,0.21705552188711627,0.2404188213001769,0.2692757745953184,0.3065611154940533,0.34499789580017853,0.32092921428249604,0.32085089651310905,0.2965073735293439,0.2566321888589057,0.22686189939621454,0.21008456203159287,0.2265202371123753,0.24100671935885196,0.2555190504858232,0.27226381968904556,0.291105072871212,0.37360933220682535,0.3105944550322791,0.2715409965204434,0.24181982091133136,0.21678499464912898,0.2003922484388479,0.20893958330760654,0.22447790342021542,0.24352768307278236,0.2648402132739294,0.27962321750863556,0.3345712862205869,0.28024365616558455,0.24660416967076748,0.219714294772869,0.1941855291552671,0.1823716257244482,0.18992616737501808,0.2034964168534094,0.21814794579574026,0.23547033647575047,0.24715304351989273,0.3474393398821765,0.29812738438476516,0.266147414637711,0.23530810998672935,0.20792355156009468,0.1959556523077334,0.20060858275173005,0.2154108519000656,0.23196258753206542,0.24736656831849116,0.26155803894188995,0.3246488117613905,0.2759941936232641,0.24787594694383627,0.22283860977857425,0.19708084048039987,0.18782673735993938,0.19685416783331885,0.21261808166862267,0.2312129933477314,0.2508513655712407,0.26735998503453734
0.07489287265244804,0.1097241943165939,0.07277514355081231,0.14977565338787793,0.11249367652353728,0.010392643421169098,0.07066228610692193,0.07031748528000656,0.8924140772391708,-0.312237609526475,0.051651185548394235,0.2655738467095309,1e-09,1e-09,0.26743524496295035,0.3041724541846497,0.26503198015601753,0.2423023205799325,1e-09,1e-09,1e-09,1e-09,1e-09,0.4128519428078306,0.35053661375725453,0.30321111373978704,0.2959944018291456,0.2864121581564169,0.28847287180882936,0.2867109310675585,0.28857142305432376,0.25535748344682496,1e-09,1e-09,0.33762439478359824,0.34175549320521076,0.3195330309706195,0.29282226280880774,0.2898730867521259,0.285098955634493,0.2808984205779657,0.27256307220945436,0.2683354469603539,0.2612542495944914,0.40536448397838304,0.38349956677981495,0.35731342456742415,0.3407412279906491,0.3227840175133454,0.3106007444514571,0.30006320446886153,0.308609148573846,0.3195253300373288,0.32771685362195746,0.3339568913093028,0.3997033131128965,0.387589362763617,0.3549554922236963,0.32981949295276997,0.30861684811010603,0.29750755599437817,0.29096993297043916,0.2890529941900875,0.2861803163537757,0.2778801127621793,0.27186798127359774,0.3242775822550418,0.30717455123830256,0.2965197126388445,0.2863872526433574,0.27419210318767967,0.2665199580652976,0.2626338819786017,0.26255980439795623,0.2653758564697605,0.2678233352474559,0.271454584289374,0.30151528857708204,0.29182875098836086,0.2830711536284796,0.282750032706293,0.2798108019739046,0.2725306063618759,0.2700232283301849,0.27451590813793175,0.27606875738283526,0.2825073581954842,0.2862637164653449,0.3067872662597139,0.29693782539139385,0.2871882482054189,0.27967180788924434,0.2731663753277227,0.27017744416676764,0.2677348983767638,0.2684475547618686,0.2676195214526135,0.2681108277982033,0.2698470920466547
